DEPT,NPHI,SP,DT,GR,CALI,RHOB,Deep_RS,RS,source
1379.0,39.2424,-30.9057,106.1498,97.4588,10.6611,2.3982,10.6293,10.3631,las_2_df
1379.5,40.1309,-30.9806,107.5031,97.3324,10.7271,2.3936,10.5652,10.3257,las_2_df
1380.0,40.7291,-31.1071,108.4726,96.103,10.7602,2.3868,10.5011,10.3287,las_2_df
1380.5,40.5591,-30.8369,108.7678,94.1679,10.8432,2.3744,10.4369,10.3194,las_2_df
1381.0,40.2451,-30.6945,108.9916,94.5885,10.7901,2.3805,10.3728,10.2942,las_2_df
1381.5,39.8119,-30.5858,108.9734,95.6155,10.6792,2.3835,10.3087,10.3117,las_2_df
1382.0,39.2624,-30.7884,108.7675,94.8015,10.6942,2.3776,10.2876,10.3509,las_2_df
1382.5,38.6585,-30.8466,108.6468,93.7637,10.7375,2.3727,10.3427,10.3877,las_2_df
1383.0,38.7517,-30.9858,108.6433,93.9778,10.7473,2.3684,10.3978,10.4005,las_2_df
1383.5,38.9769,-30.8878,108.9318,94.6135,10.7219,2.3682,10.4529,10.4509,las_2_df
1384.0,39.0774,-30.9775,109.1791,94.845,10.6758,2.3742,10.508,10.4832,las_2_df
1384.5,38.3131,-31.2914,109.1672,94.1198,10.6593,2.3773,10.563,10.49,las_2_df
1385.0,37.1665,-31.5702,108.9585,93.4331,10.641,2.3763,10.6181,10.5115,las_2_df
1385.5,37.1108,-31.8273,108.7497,93.5962,10.5939,2.3772,10.6732,10.555,las_2_df
1386.0,38.1563,-32.0476,108.1812,94.4563,10.581,2.3791,10.7283,10.7035,las_2_df
1386.5,38.971,-32.2662,107.6415,96.0043,10.5854,2.3835,10.7834,10.9134,las_2_df
1387.0,39.5433,-32.4321,107.3951,97.4216,10.5223,2.3872,10.8385,11.0037,las_2_df
1387.5,39.1922,-32.3946,107.2922,97.9116,10.43,2.3923,10.8936,11.0113,las_2_df
1388.0,38.2997,-32.1122,106.9483,98.296,10.1894,2.3902,10.9486,10.9983,las_2_df
1388.5,37.2204,-31.8554,106.3512,99.3972,10.0884,2.3894,11.0037,10.9961,las_2_df
1389.0,37.4474,-31.7174,105.8032,100.0539,10.3255,2.3933,11.0563,10.9998,las_2_df
1389.5,37.5324,-31.5524,105.6947,97.9669,10.3873,2.4004,11.0035,10.8526,las_2_df
1390.0,37.4892,-31.5328,105.6379,95.6798,10.4051,2.396,10.9506,10.6304,las_2_df
1390.5,37.8091,-31.2382,106.3787,96.2713,10.4269,2.3886,10.8978,10.5775,las_2_df
1391.0,38.0993,-31.1875,107.2619,96.5807,10.4028,2.3823,10.8449,10.4853,las_2_df
1391.5,38.1871,-31.3367,107.7166,97.2056,10.3933,2.3729,10.7848,10.44,las_2_df
1392.0,38.2974,-31.3775,107.6203,98.0476,10.3975,2.3746,10.5558,10.4054,las_2_df
1392.5,38.4433,-31.234,107.3021,98.6513,10.4186,2.3668,10.3269,10.3085,las_2_df
1393.0,38.8553,-31.1906,107.0157,98.7891,10.4248,2.3599,10.1226,10.2158,las_2_df
1393.5,38.8549,-31.4261,107.5476,98.5455,10.411,2.3603,10.0612,10.1232,las_2_df
1394.0,38.7903,-32.0726,108.5376,98.1104,10.4336,2.3662,9.9998,10.0305,las_2_df
1394.5,38.7256,-32.0901,108.9269,98.3585,10.3567,2.3686,9.9385,9.9379,las_2_df
1395.0,38.6626,-32.2804,108.9743,99.5502,10.3442,2.3757,9.8771,9.8452,las_2_df
1395.5,38.6604,-32.493,109.2174,100.4947,10.2858,2.3876,9.8481,9.7526,las_2_df
1396.0,38.6582,-32.7567,109.9425,100.4865,10.2343,2.3942,9.835,9.6599,las_2_df
1396.5,38.7083,-33.0607,110.6162,99.8068,10.2161,2.4013,9.8218,9.5814,las_2_df
1397.0,38.8012,-33.2644,111.1638,98.3984,10.2064,2.4029,9.8087,9.5543,las_2_df
1397.5,38.8661,-33.1765,112.0259,96.88,10.2069,2.3975,9.7955,9.5187,las_2_df
1398.0,38.9108,-32.8972,113.8421,96.0526,10.1876,2.3961,9.7824,9.4932,las_2_df
1398.5,38.9554,-32.6213,115.5894,95.6198,10.1929,2.3962,9.7692,9.5101,las_2_df
1399.0,39.1286,-32.3948,116.2277,95.377,10.1977,2.3948,9.7561,9.4801,las_2_df
1399.5,39.6877,-32.2096,116.4601,95.9714,10.2181,2.3932,9.7429,9.4834,las_2_df
1400.0,39.5266,-32.1342,116.1546,95.96,10.2228,2.3918,9.7298,9.4898,las_2_df
1400.5,38.7596,-32.086,115.1278,94.0637,10.2241,2.3874,9.7166,9.487,las_2_df
1401.0,38.2444,-32.207,114.3934,92.4374,10.2405,2.3808,9.7035,9.4973,las_2_df
1401.5,38.5337,-32.4746,113.8243,92.2878,10.2452,2.3754,9.6903,9.5457,las_2_df
